model,k,precision,recall,ndcg,coverage
Random,5,0.0,0.0,0.0,0.26579264710429484
Random,10,0.0,0.0,0.0,0.4604990569246467
Random,20,0.0,0.0,0.0,0.7079867660245509
Popularity,5,0.0016,0.0075,0.004047669157384048,0.00018552302031477072
Popularity,10,0.0010500000000000002,0.0095,0.004706365926985565,0.00034012553724374633
Popularity,20,0.000775,0.014166666666666666,0.005859993989962488,0.0006493305711016976
NOVA,5,0.0018000000000000002,0.007266666666666667,0.004660879099241305,0.056244395658761326
NOVA,10,0.0020499999999999997,0.01609583333333333,0.007646657519516774,0.10760335178256702
NOVA,20,0.0015,0.02403333333333333,0.00973406038999128,0.1970254475742865
